ChangeTV init done
---------- 1544911873.9176643 ----------

---------- 1544911878.9248347 ----------

---------- 1544911883.9319878 ----------

---------- 1544911888.9391673 ----------

---------- 1544911893.94642 ----------

---------- 1544911898.953653 ----------

---------- 1544911903.9608986 ----------

---------- 1544911908.9681346 ----------

---------- 1544911913.9753547 ----------

---------- 1544911918.9825552 ----------

---------- 1544911923.9896886 ----------

---------- 1544911928.9969018 ----------

---------- 1544911934.0041306 ----------

---------- 1544911939.0113366 ----------

---------- 1544911944.0185285 ----------

---------- 1544911949.0256534 ----------

---------- 1544911954.0328376 ----------

---------- 1544911959.04006 ----------

---------- 1544911964.0472884 ----------

---------- 1544911969.0544686 ----------

---------- 1544911974.0616539 ----------

---------- 1544911979.0688763 ----------

---------- 1544911984.076116 ----------

---------- 1544911989.0833106 ----------

---------- 1544911994.090521 ----------

---------- 1544911999.0977402 ----------

---------- 1544912004.1049209 ----------

---------- 1544912009.1121237 ----------

---------- 1544912014.1193345 ----------

---------- 1544912019.126552 ----------

---------- 1544912024.1337817 ----------

---------- 1544912029.140978 ----------

---------- 1544912034.148174 ----------

---------- 1544912039.1553845 ----------

---------- 1544912044.1625805 ----------

---------- 1544912049.169719 ----------

---------- 1544912054.1769497 ----------

---------- 1544912059.1848378 ----------

---------- 1544912064.192017 ----------

---------- 1544912069.1992304 ----------

---------- 1544912074.2065182 ----------

---------- 1544912079.2137752 ----------

---------- 1544912084.2209892 ----------

---------- 1544912089.2282348 ----------

---------- 1544912094.2354505 ----------

---------- 1544912099.2426243 ----------

---------- 1544912104.2498436 ----------

---------- 1544912109.257032 ----------

---------- 1544912114.2642753 ----------

---------- 1544912119.2714956 ----------

---------- 1544912124.278733 ----------

---------- 1544912129.2859597 ----------

---------- 1544912134.2931883 ----------

---------- 1544912139.3004234 ----------

---------- 1544912144.3076236 ----------

---------- 1544912149.3148603 ----------

---------- 1544912154.3221107 ----------

---------- 1544912159.329316 ----------

---------- 1544912164.3365269 ----------

---------- 1544912169.343735 ----------

---------- 1544912174.3509443 ----------

---------- 1544912179.3581686 ----------

---------- 1544912184.3653815 ----------

---------- 1544912189.3726208 ----------

---------- 1544912194.379846 ----------

---------- 1544912199.387091 ----------

---------- 1544912204.3943312 ----------

---------- 1544912209.4015193 ----------

---------- 1544912214.4087071 ----------

---------- 1544912219.4158676 ----------

---------- 1544912224.423106 ----------

---------- 1544912229.4303532 ----------

---------- 1544912234.4375682 ----------

---------- 1544912239.4447618 ----------

---------- 1544912244.4520364 ----------

---------- 1544912249.4592366 ----------

---------- 1544912254.4663987 ----------

---------- 1544912259.4735515 ----------

---------- 1544912264.4807405 ----------

---------- 1544912269.487911 ----------

---------- 1544912274.4951463 ----------

---------- 1544912279.5022938 ----------

---------- 1544912284.5094347 ----------

---------- 1544912289.5167315 ----------

---------- 1544912294.5239646 ----------

---------- 1544912299.5311747 ----------

---------- 1544912304.538398 ----------

---------- 1544912309.545546 ----------

---------- 1544912314.55273 ----------

---------- 1544912319.5599415 ----------

---------- 1544912324.567156 ----------

---------- 1544912329.57439 ----------

---------- 1544912334.5815876 ----------

---------- 1544912339.5887046 ----------

---------- 1544912344.5958846 ----------

---------- 1544912349.6031203 ----------

---------- 1544912354.6103 ----------

---------- 1544912359.61748 ----------

---------- 1544912364.624751 ----------

---------- 1544912369.6319818 ----------

---------- 1544912374.6391811 ----------

---------- 1544912379.6463487 ----------

---------- 1544912384.6534956 ----------

---------- 1544912389.6606226 ----------

---------- 1544912394.6678298 ----------

---------- 1544912399.6750376 ----------

---------- 1544912404.682218 ----------

---------- 1544912409.6893733 ----------

---------- 1544912414.6965623 ----------

---------- 1544912419.7037337 ----------

---------- 1544912424.7109654 ----------

---------- 1544912429.7182353 ----------

---------- 1544912434.7254646 ----------

---------- 1544912439.732691 ----------

---------- 1544912444.7399008 ----------

---------- 1544912449.7471473 ----------

---------- 1544912454.7543766 ----------

---------- 1544912459.7615988 ----------

---------- 1544912464.7688098 ----------

---------- 1544912469.7759902 ----------

---------- 1544912474.783166 ----------

---------- 1544912479.7903852 ----------

---------- 1544912484.7976024 ----------

---------- 1544912489.804839 ----------

---------- 1544912494.812075 ----------

---------- 1544912499.8193004 ----------

---------- 1544912504.8265302 ----------

---------- 1544912509.8337348 ----------

---------- 1544912514.8409445 ----------

---------- 1544912519.848177 ----------

---------- 1544912524.8561928 ----------

---------- 1544912529.863448 ----------

---------- 1544912534.870659 ----------

---------- 1544912539.8778217 ----------

---------- 1544912544.8850548 ----------

---------- 1544912549.8922741 ----------

---------- 1544912554.899519 ----------

---------- 1544912559.9067526 ----------

---------- 1544912564.914012 ----------

---------- 1544912569.921219 ----------

---------- 1544912574.9286222 ----------

---------- 1544912579.9358468 ----------

---------- 1544912584.9431217 ----------

---------- 1544912589.9503577 ----------

---------- 1544912594.9575956 ----------

---------- 1544912599.9648323 ----------

---------- 1544912604.9720843 ----------

---------- 1544912609.9792998 ----------

---------- 1544912614.9865677 ----------

---------- 1544912619.9937942 ----------

---------- 1544912625.0010407 ----------

---------- 1544912630.0082707 ----------

---------- 1544912635.0155048 ----------

---------- 1544912640.0227315 ----------

---------- 1544912645.0299916 ----------

---------- 1544912650.037193 ----------

---------- 1544912655.0444372 ----------

---------- 1544912660.051636 ----------

---------- 1544912665.0589082 ----------

---------- 1544912670.066115 ----------

---------- 1544912675.0733507 ----------

---------- 1544912680.080586 ----------

---------- 1544912685.087819 ----------

---------- 1544912690.095037 ----------

---------- 1544912695.1022527 ----------

---------- 1544912700.1093924 ----------

---------- 1544912705.1165679 ----------

---------- 1544912710.1237879 ----------

---------- 1544912715.1310582 ----------

---------- 1544912720.1382818 ----------

---------- 1544912725.1455135 ----------

---------- 1544912730.1527507 ----------

---------- 1544912735.1600103 ----------

---------- 1544912740.1672118 ----------

---------- 1544912745.1744254 ----------

---------- 1544912750.181585 ----------

---------- 1544912755.1887608 ----------

---------- 1544912760.1959815 ----------

---------- 1544912765.2032218 ----------

---------- 1544912770.2104461 ----------

---------- 1544912775.217685 ----------

---------- 1544912780.2248912 ----------

---------- 1544912785.2320848 ----------

---------- 1544912790.239274 ----------

---------- 1544912795.246539 ----------

---------- 1544912800.2537446 ----------

---------- 1544912805.2609675 ----------

---------- 1544912810.2681942 ----------

---------- 1544912815.2754261 ----------

---------- 1544912820.2826319 ----------

---------- 1544912825.2898185 ----------

---------- 1544912830.296997 ----------

---------- 1544912835.3042064 ----------

---------- 1544912840.311415 ----------

---------- 1544912845.3186405 ----------

---------- 1544912850.3257678 ----------

---------- 1544912855.332943 ----------

---------- 1544912860.3401809 ----------

---------- 1544912865.3474214 ----------

---------- 1544912870.354643 ----------

---------- 1544912875.361831 ----------

---------- 1544912880.3690042 ----------

---------- 1544912885.3762186 ----------

---------- 1544912890.383426 ----------

---------- 1544912895.3906753 ----------

---------- 1544912900.3978817 ----------

---------- 1544912905.4051254 ----------

---------- 1544912910.4123437 ----------

---------- 1544912915.4195914 ----------

---------- 1544912920.4268088 ----------

---------- 1544912925.4340327 ----------

---------- 1544912930.441248 ----------

---------- 1544912935.4484615 ----------

---------- 1544912940.4556541 ----------

---------- 1544912945.462916 ----------

---------- 1544912950.4701047 ----------

---------- 1544912955.4772508 ----------

---------- 1544912960.4844408 ----------

---------- 1544912965.4916403 ----------

---------- 1544912970.4988177 ----------

---------- 1544912975.5049734 ----------

---------- 1544912980.512215 ----------

---------- 1544912985.5169945 ----------

---------- 1544912990.524189 ----------

---------- 1544912995.5289783 ----------

---------- 1544913000.5361958 ----------

---------- 1544913005.5409741 ----------

---------- 1544913010.5481982 ----------

---------- 1544913015.5529757 ----------

---------- 1544913020.5601485 ----------

---------- 1544913025.5649846 ----------

---------- 1544913030.5689747 ----------

---------- 1544913035.5762587 ----------

---------- 1544913040.5834813 ----------

---------- 1544913045.5889826 ----------

---------- 1544913050.5962474 ----------

---------- 1544913055.6009836 ----------

---------- 1544913060.608233 ----------

---------- 1544913065.6129868 ----------

---------- 1544913070.6201963 ----------

---------- 1544913075.6274683 ----------

---------- 1544913080.63467 ----------

---------- 1544913085.6369877 ----------

---------- 1544913090.6442115 ----------

---------- 1544913095.6489863 ----------

---------- 1544913100.6562755 ----------

---------- 1544913105.6609917 ----------

---------- 1544913110.6681845 ----------

---------- 1544913115.6729891 ----------

---------- 1544913120.6802368 ----------

---------- 1544913125.6849883 ----------

---------- 1544913130.6922145 ----------

---------- 1544913135.6969745 ----------

---------- 1544913140.7042077 ----------

---------- 1544913145.7089968 ----------

---------- 1544913150.716245 ----------

---------- 1544913155.7209866 ----------

---------- 1544913160.7282388 ----------

---------- 1544913165.732991 ----------

---------- 1544913170.7402494 ----------

---------- 1544913175.7475123 ----------

---------- 1544913180.7547567 ----------

---------- 1544913185.7620423 ----------

---------- 1544913190.7692716 ----------

---------- 1544913195.776541 ----------

---------- 1544913200.7837312 ----------

---------- 1544913205.7910194 ----------

---------- 1544913210.7982726 ----------

---------- 1544913215.8055344 ----------

---------- 1544913220.812794 ----------

---------- 1544913225.8200898 ----------

---------- 1544913230.8273036 ----------

---------- 1544913235.8345897 ----------

---------- 1544913240.841828 ----------

---------- 1544913245.8490918 ----------

---------- 1544913250.856341 ----------

---------- 1544913255.8635993 ----------

---------- 1544913260.8708265 ----------

---------- 1544913265.8781161 ----------

---------- 1544913270.8853424 ----------

---------- 1544913275.8926284 ----------

---------- 1544913280.8998618 ----------

---------- 1544913285.9071617 ----------

---------- 1544913290.914414 ----------

---------- 1544913295.9216735 ----------

---------- 1544913300.9289 ----------

---------- 1544913305.9361668 ----------

---------- 1544913310.9433947 ----------

---------- 1544913315.9506764 ----------

---------- 1544913320.9578948 ----------

---------- 1544913325.9651513 ----------

---------- 1544913330.9723961 ----------

---------- 1544913335.9796538 ----------

---------- 1544913340.9869049 ----------

---------- 1544913345.994195 ----------

---------- 1544913351.0014179 ----------

---------- 1544913356.0086942 ----------

---------- 1544913361.0159464 ----------

---------- 1544913366.0232139 ----------

---------- 1544913371.030495 ----------

---------- 1544913376.0377522 ----------

---------- 1544913381.0449753 ----------

---------- 1544913386.052251 ----------

---------- 1544913391.0594807 ----------

---------- 1544913396.066776 ----------

---------- 1544913401.0740287 ----------

---------- 1544913406.0813053 ----------

---------- 1544913411.0885713 ----------

---------- 1544913416.0958397 ----------

---------- 1544913421.1031034 ----------

---------- 1544913426.1103718 ----------

---------- 1544913431.1175938 ----------

---------- 1544913436.1248484 ----------

---------- 1544913441.1320982 ----------

---------- 1544913446.1392794 ----------

---------- 1544913451.1464937 ----------

---------- 1544913456.1537278 ----------

---------- 1544913461.1609638 ----------

---------- 1544913466.1682196 ----------

---------- 1544913471.1753874 ----------

---------- 1544913476.1826344 ----------

---------- 1544913481.1898327 ----------

---------- 1544913486.1970618 ----------

---------- 1544913491.2056491 ----------

---------- 1544913496.213491 ----------

---------- 1544913501.22073 ----------

---------- 1544913506.2279665 ----------

---------- 1544913511.2351422 ----------

---------- 1544913516.2424123 ----------

---------- 1544913521.2496428 ----------

---------- 1544913526.2568817 ----------

---------- 1544913531.264088 ----------

---------- 1544913536.271339 ----------

---------- 1544913541.278551 ----------

---------- 1544913546.2849472 ----------

---------- 1544913551.2921581 ----------

---------- 1544913556.296967 ----------

---------- 1544913561.3041873 ----------

---------- 1544913566.3109896 ----------

---------- 1544913571.3181837 ----------

---------- 1544913576.3253527 ----------

---------- 1544913581.3326175 ----------

---------- 1544913586.3398454 ----------

---------- 1544913591.347074 ----------

---------- 1544913596.3543224 ----------

---------- 1544913601.3615441 ----------

---------- 1544913606.3687537 ----------

---------- 1544913611.3759463 ----------

---------- 1544913616.3831658 ----------

---------- 1544913621.3903873 ----------

---------- 1544913626.3975754 ----------

---------- 1544913631.404749 ----------

---------- 1544913636.411988 ----------

---------- 1544913641.4191964 ----------

---------- 1544913646.426437 ----------

---------- 1544913651.433641 ----------

---------- 1544913656.440838 ----------

---------- 1544913661.4480345 ----------

---------- 1544913666.4552503 ----------

---------- 1544913671.4624782 ----------

---------- 1544913676.4696865 ----------

---------- 1544913681.4768946 ----------

---------- 1544913686.4841182 ----------

---------- 1544913691.491325 ----------

---------- 1544913696.4985578 ----------

---------- 1544913701.505766 ----------

---------- 1544913706.5089672 ----------

---------- 1544913711.5162065 ----------

---------- 1544913716.5234227 ----------

---------- 1544913721.5306416 ----------

---------- 1544913726.5378575 ----------

---------- 1544913731.545036 ----------

---------- 1544913736.552219 ----------

---------- 1544913741.5593908 ----------

---------- 1544913746.5665772 ----------

---------- 1544913751.573778 ----------

---------- 1544913756.5809882 ----------

---------- 1544913761.5882058 ----------

---------- 1544913766.5954053 ----------

---------- 1544913771.6026049 ----------

---------- 1544913776.6098115 ----------

---------- 1544913781.616977 ----------

---------- 1544913786.6241612 ----------

---------- 1544913791.6313481 ----------

---------- 1544913796.6385603 ----------

---------- 1544913801.6457572 ----------

---------- 1544913806.6529472 ----------

---------- 1544913811.6601226 ----------

---------- 1544913816.667339 ----------

---------- 1544913821.674532 ----------

---------- 1544913826.6816716 ----------

---------- 1544913831.6888463 ----------

---------- 1544913836.6960154 ----------

---------- 1544913841.7032123 ----------

---------- 1544913846.7104232 ----------

---------- 1544913851.7175956 ----------

